model,seed,conf,iou,nms_type,weight,run_name,status
yolov9c,42,0.001,0.45,classaware,outputs/detectors/server_baselines/20260618_210146_yolov9c_visdrone_seed42/ultralytics/weights/best.pt,final_nms_yolov9c_seed42_conf0p001_iou0p45_classaware,queued
yolov9c,42,0.001,0.55,classaware,outputs/detectors/server_baselines/20260618_210146_yolov9c_visdrone_seed42/ultralytics/weights/best.pt,final_nms_yolov9c_seed42_conf0p001_iou0p55_classaware,queued
yolov9c,42,0.001,0.65,classaware,outputs/detectors/server_baselines/20260618_210146_yolov9c_visdrone_seed42/ultralytics/weights/best.pt,final_nms_yolov9c_seed42_conf0p001_iou0p65_classaware,queued
yolov9c,42,0.001,0.75,classaware,outputs/detectors/server_baselines/20260618_210146_yolov9c_visdrone_seed42/ultralytics/weights/best.pt,final_nms_yolov9c_seed42_conf0p001_iou0p75_classaware,queued
yolov9c,123,0.001,0.45,classaware,outputs/detectors/server_baselines/20260618_204816_yolov9c_visdrone_seed123/ultralytics/weights/best.pt,final_nms_yolov9c_seed123_conf0p001_iou0p45_classaware,queued
yolov9c,123,0.001,0.55,classaware,outputs/detectors/server_baselines/20260618_204816_yolov9c_visdrone_seed123/ultralytics/weights/best.pt,final_nms_yolov9c_seed123_conf0p001_iou0p55_classaware,queued
yolov9c,123,0.001,0.65,classaware,outputs/detectors/server_baselines/20260618_204816_yolov9c_visdrone_seed123/ultralytics/weights/best.pt,final_nms_yolov9c_seed123_conf0p001_iou0p65_classaware,queued
yolov9c,123,0.001,0.75,classaware,outputs/detectors/server_baselines/20260618_204816_yolov9c_visdrone_seed123/ultralytics/weights/best.pt,final_nms_yolov9c_seed123_conf0p001_iou0p75_classaware,queued
yolov9c,2026,0.001,0.45,classaware,outputs/detectors/server_baselines/20260619_052226_yolov9c_visdrone_seed2026/ultralytics/weights/best.pt,final_nms_yolov9c_seed2026_conf0p001_iou0p45_classaware,queued
yolov9c,2026,0.001,0.55,classaware,outputs/detectors/server_baselines/20260619_052226_yolov9c_visdrone_seed2026/ultralytics/weights/best.pt,final_nms_yolov9c_seed2026_conf0p001_iou0p55_classaware,queued
yolov9c,2026,0.001,0.65,classaware,outputs/detectors/server_baselines/20260619_052226_yolov9c_visdrone_seed2026/ultralytics/weights/best.pt,final_nms_yolov9c_seed2026_conf0p001_iou0p65_classaware,queued
yolov9c,2026,0.001,0.75,classaware,outputs/detectors/server_baselines/20260619_052226_yolov9c_visdrone_seed2026/ultralytics/weights/best.pt,final_nms_yolov9c_seed2026_conf0p001_iou0p75_classaware,queued
ours,42,0.01,0.45,classaware,outputs/detectors/server_yolov11_p2p4_balanced/20260612_065130_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed42/ultralytics/weights/best.pt,final_nms_ours_seed42_conf0p01_iou0p45_classaware,queued
ours,42,0.01,0.50,classaware,outputs/detectors/server_yolov11_p2p4_balanced/20260612_065130_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed42/ultralytics/weights/best.pt,final_nms_ours_seed42_conf0p01_iou0p50_classaware,queued
ours,42,0.01,0.55,classaware,outputs/detectors/server_yolov11_p2p4_balanced/20260612_065130_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed42/ultralytics/weights/best.pt,final_nms_ours_seed42_conf0p01_iou0p55_classaware,queued
ours,42,0.01,0.60,classaware,outputs/detectors/server_yolov11_p2p4_balanced/20260612_065130_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed42/ultralytics/weights/best.pt,final_nms_ours_seed42_conf0p01_iou0p60_classaware,queued
ours,42,0.01,0.65,classaware,outputs/detectors/server_yolov11_p2p4_balanced/20260612_065130_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed42/ultralytics/weights/best.pt,final_nms_ours_seed42_conf0p01_iou0p65_classaware,queued
ours,42,0.01,0.75,classaware,outputs/detectors/server_yolov11_p2p4_balanced/20260612_065130_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed42/ultralytics/weights/best.pt,final_nms_ours_seed42_conf0p01_iou0p75_classaware,queued
ours,123,0.01,0.45,classaware,outputs/detectors/server_yolov11_p2p4_balanced/20260611_103331_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/weights/best.pt,final_nms_ours_seed123_conf0p01_iou0p45_classaware,queued
ours,123,0.01,0.50,classaware,outputs/detectors/server_yolov11_p2p4_balanced/20260611_103331_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/weights/best.pt,final_nms_ours_seed123_conf0p01_iou0p50_classaware,queued
ours,123,0.01,0.55,classaware,outputs/detectors/server_yolov11_p2p4_balanced/20260611_103331_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/weights/best.pt,final_nms_ours_seed123_conf0p01_iou0p55_classaware,queued
ours,123,0.01,0.60,classaware,outputs/detectors/server_yolov11_p2p4_balanced/20260611_103331_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/weights/best.pt,final_nms_ours_seed123_conf0p01_iou0p60_classaware,queued
ours,123,0.01,0.65,classaware,outputs/detectors/server_yolov11_p2p4_balanced/20260611_103331_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/weights/best.pt,final_nms_ours_seed123_conf0p01_iou0p65_classaware,queued
ours,123,0.01,0.75,classaware,outputs/detectors/server_yolov11_p2p4_balanced/20260611_103331_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/weights/best.pt,final_nms_ours_seed123_conf0p01_iou0p75_classaware,queued
ours,2026,0.01,0.45,classaware,outputs/detectors/server_yolov11_p2p4_balanced/20260612_065130_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed2026/ultralytics/weights/best.pt,final_nms_ours_seed2026_conf0p01_iou0p45_classaware,queued
ours,2026,0.01,0.50,classaware,outputs/detectors/server_yolov11_p2p4_balanced/20260612_065130_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed2026/ultralytics/weights/best.pt,final_nms_ours_seed2026_conf0p01_iou0p50_classaware,queued
ours,2026,0.01,0.55,classaware,outputs/detectors/server_yolov11_p2p4_balanced/20260612_065130_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed2026/ultralytics/weights/best.pt,final_nms_ours_seed2026_conf0p01_iou0p55_classaware,queued
ours,2026,0.01,0.60,classaware,outputs/detectors/server_yolov11_p2p4_balanced/20260612_065130_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed2026/ultralytics/weights/best.pt,final_nms_ours_seed2026_conf0p01_iou0p60_classaware,queued
ours,2026,0.01,0.65,classaware,outputs/detectors/server_yolov11_p2p4_balanced/20260612_065130_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed2026/ultralytics/weights/best.pt,final_nms_ours_seed2026_conf0p01_iou0p65_classaware,queued
ours,2026,0.01,0.75,classaware,outputs/detectors/server_yolov11_p2p4_balanced/20260612_065130_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed2026/ultralytics/weights/best.pt,final_nms_ours_seed2026_conf0p01_iou0p75_classaware,queued
yolov9c,42,0.01,0.45,classaware,outputs/detectors/server_baselines/20260618_210146_yolov9c_visdrone_seed42/ultralytics/weights/best.pt,final_nms_yolov9c_seed42_conf0p01_iou0p45_classaware,queued
yolov9c,42,0.01,0.50,classaware,outputs/detectors/server_baselines/20260618_210146_yolov9c_visdrone_seed42/ultralytics/weights/best.pt,final_nms_yolov9c_seed42_conf0p01_iou0p50_classaware,queued
yolov9c,42,0.01,0.55,classaware,outputs/detectors/server_baselines/20260618_210146_yolov9c_visdrone_seed42/ultralytics/weights/best.pt,final_nms_yolov9c_seed42_conf0p01_iou0p55_classaware,queued
yolov9c,42,0.01,0.60,classaware,outputs/detectors/server_baselines/20260618_210146_yolov9c_visdrone_seed42/ultralytics/weights/best.pt,final_nms_yolov9c_seed42_conf0p01_iou0p60_classaware,queued
yolov9c,42,0.01,0.65,classaware,outputs/detectors/server_baselines/20260618_210146_yolov9c_visdrone_seed42/ultralytics/weights/best.pt,final_nms_yolov9c_seed42_conf0p01_iou0p65_classaware,queued
yolov9c,42,0.01,0.75,classaware,outputs/detectors/server_baselines/20260618_210146_yolov9c_visdrone_seed42/ultralytics/weights/best.pt,final_nms_yolov9c_seed42_conf0p01_iou0p75_classaware,queued
yolov9c,123,0.01,0.45,classaware,outputs/detectors/server_baselines/20260618_204816_yolov9c_visdrone_seed123/ultralytics/weights/best.pt,final_nms_yolov9c_seed123_conf0p01_iou0p45_classaware,queued
yolov9c,123,0.01,0.50,classaware,outputs/detectors/server_baselines/20260618_204816_yolov9c_visdrone_seed123/ultralytics/weights/best.pt,final_nms_yolov9c_seed123_conf0p01_iou0p50_classaware,queued
yolov9c,123,0.01,0.55,classaware,outputs/detectors/server_baselines/20260618_204816_yolov9c_visdrone_seed123/ultralytics/weights/best.pt,final_nms_yolov9c_seed123_conf0p01_iou0p55_classaware,queued
yolov9c,123,0.01,0.60,classaware,outputs/detectors/server_baselines/20260618_204816_yolov9c_visdrone_seed123/ultralytics/weights/best.pt,final_nms_yolov9c_seed123_conf0p01_iou0p60_classaware,queued
yolov9c,123,0.01,0.65,classaware,outputs/detectors/server_baselines/20260618_204816_yolov9c_visdrone_seed123/ultralytics/weights/best.pt,final_nms_yolov9c_seed123_conf0p01_iou0p65_classaware,queued
yolov9c,123,0.01,0.75,classaware,outputs/detectors/server_baselines/20260618_204816_yolov9c_visdrone_seed123/ultralytics/weights/best.pt,final_nms_yolov9c_seed123_conf0p01_iou0p75_classaware,queued
yolov9c,2026,0.01,0.45,classaware,outputs/detectors/server_baselines/20260619_052226_yolov9c_visdrone_seed2026/ultralytics/weights/best.pt,final_nms_yolov9c_seed2026_conf0p01_iou0p45_classaware,queued
yolov9c,2026,0.01,0.50,classaware,outputs/detectors/server_baselines/20260619_052226_yolov9c_visdrone_seed2026/ultralytics/weights/best.pt,final_nms_yolov9c_seed2026_conf0p01_iou0p50_classaware,queued
yolov9c,2026,0.01,0.55,classaware,outputs/detectors/server_baselines/20260619_052226_yolov9c_visdrone_seed2026/ultralytics/weights/best.pt,final_nms_yolov9c_seed2026_conf0p01_iou0p55_classaware,queued
yolov9c,2026,0.01,0.60,classaware,outputs/detectors/server_baselines/20260619_052226_yolov9c_visdrone_seed2026/ultralytics/weights/best.pt,final_nms_yolov9c_seed2026_conf0p01_iou0p60_classaware,queued
yolov9c,2026,0.01,0.65,classaware,outputs/detectors/server_baselines/20260619_052226_yolov9c_visdrone_seed2026/ultralytics/weights/best.pt,final_nms_yolov9c_seed2026_conf0p01_iou0p65_classaware,queued
yolov9c,2026,0.01,0.75,classaware,outputs/detectors/server_baselines/20260619_052226_yolov9c_visdrone_seed2026/ultralytics/weights/best.pt,final_nms_yolov9c_seed2026_conf0p01_iou0p75_classaware,queued
