run_dir,scenario,provider,object_id,prompt_chars,predicted_class,llm_confidence,recommended_action,final_should_reobserve,final_decision_source
outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_rule_based,s2_coastline_multiview,rule_based_aerograph,uav_01_pedestrian_3_5,1000,pedestrian,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_rule_based,s2_coastline_multiview,rule_based_aerograph,uav_02_bus_0_3,978,bus,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_rule_based,s2_coastline_multiview,rule_based_aerograph,uav_02_bus_5_4,977,bus,0.6350106310844421,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_rule_based,s2_coastline_multiview,rule_based_aerograph,uav_02_bus_7_6,978,bus,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_rule_based,s2_coastline_multiview,rule_based_aerograph,uav_02_car_0_3,977,car,0.4850087373331189,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_rule_based,s2_coastline_multiview,rule_based_aerograph,uav_02_car_0_5,977,car,0.88,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_rule_based,s2_coastline_multiview,rule_based_aerograph,uav_02_car_10_6,979,car,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_rule_based,s2_coastline_multiview,rule_based_aerograph,uav_02_car_10_7,980,car,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_rule_based,s2_coastline_multiview,rule_based_aerograph,uav_02_car_10_8,980,car,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_rule_based,s2_coastline_multiview,rule_based_aerograph,uav_02_car_13_6,980,car,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_rule_based,s2_coastline_multiview,rule_based_aerograph,uav_02_car_1_5,977,car,0.7163212013244629,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_rule_based,s2_coastline_multiview,rule_based_aerograph,uav_02_car_7_6,978,car,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_rule_based,s2_coastline_multiview,rule_based_aerograph,uav_02_car_8_5,975,car,0.80827805519104,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_rule_based,s2_coastline_multiview,rule_based_aerograph,uav_02_car_9_8,978,car,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_rule_based,s2_coastline_multiview,rule_based_aerograph,uav_02_van_0_5,979,van,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_rule_based,s2_coastline_multiview,rule_based_aerograph,uav_03_bus_7_7,976,bus,0.693760187625885,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_rule_based,s2_coastline_multiview,rule_based_aerograph,uav_03_car_5_8,978,car,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_rule_based,s2_coastline_multiview,rule_based_aerograph,uav_03_pedestrian_0_7,1000,pedestrian,0.35,targeted re-observation,True,llm_confirmed
