appearance_distance,component_frame_overlap_count,component_size_after,crop_area_min_median_px2,dataset,destination_component_tracklets_before,destination_crop_area_median_px2,destination_endpoint_area_px2,destination_first_frame,destination_gt_purity,destination_id,destination_majority_gt_identity,destination_tracklet_length,displacement_normalized_by_frame_diagonal,displacement_px,gap,modality,posthoc_GT_correctness,sequence,source_component_tracklets_before,source_crop_area_median_px2,source_endpoint_area_px2,source_gt_purity,source_id,source_last_frame,source_majority_gt_identity,source_tracklet_length,split,tracker
0.09934341907501221,0,2,83.039794921875,M3OT,1,224.93094224855304,114.2629492492415,424,1.0,44,36,165,0.0473557321608561,38.81275345671116,4,ir,same_identity,M3OT/2/ir/val/2-08T,1,83.039794921875,94.60511459340341,1.0,37,420,36,51,development,ocsort
0.12274682521820068,0,2,78.2142108399421,M3OT,1,78.2142108399421,78.2142108399421,105,1.0,17,3,1,0.025614104111163705,20.99331722935305,4,ir,same_identity,M3OT/2/ir/val/2-08T,1,158.05157169187441,128.6359364502132,1.0,2,101,3,101,development,ocsort
0.18621253967285156,0,2,76.42088037414942,M3OT,1,227.3834987487644,76.42088037414942,424,1.0,46,39,177,0.03326597250194224,27.264787815547013,4,ir,same_identity,M3OT/2/ir/val/2-08T,1,76.42088037414942,76.42088037414942,1.0,40,420,39,5,development,ocsort
0.19510728120803833,0,2,82.48158449248876,M3OT,1,82.48158449248876,92.81559343263507,424,1.0,47,33,34,0.03265304865404869,26.76243548964009,4,ir,same_identity,M3OT/2/ir/val/2-08T,1,314.83422396238893,103.75538396299817,1.0,34,420,33,93,development,ocsort
0.2515888214111328,0,2,134.50499534606934,M3OT,1,254.87599847564707,216.21708242950263,193,1.0,27,27,76,0.05556189176565893,45.53852106781584,4,ir,different_identity,M3OT/2/ir/val/2-08T,1,134.50499534606934,99.3868550331099,1.0,16,189,17,99,development,ocsort
0.156328022480011,0,2,118.47997466931702,M3OT,1,118.47997466931702,158.24985222239047,202,1.0,9,7,6,0.02447074325472777,20.056218783020004,25,ir,different_identity,M3OT/1/ir/test/1-03T,1,324.89221761748195,68.69043647451326,1.0,5,177,6,99,held_out,bytetrack
0.19452065229415894,0,2,270.4558069203049,M3OT,1,380.6208474528976,576.9297144263983,337,1.0,19,16,144,0.06564020318555701,53.79870412383449,5,ir,different_identity,M3OT/1/ir/test/1-03T,1,270.4558069203049,167.92013711482286,1.0,17,332,14,41,held_out,bytetrack
0.04415309429168701,0,2,130.295093080902,M3OT,1,130.295093080902,144.18031311035156,204,1.0,9,7,4,0.019877986703357307,16.291995961809288,27,ir,different_identity,M3OT/1/ir/test/1-03T,1,322.10543397814035,105.56005996704334,1.0,5,177,6,97,held_out,ocsort
0.04069876670837402,0,2,306.65972524369135,M3OT,1,306.65972524369135,371.39089608797804,93,1.0,10,6,57,0.021887095015460777,17.93866093830305,2,ir,different_identity,M3OT/2/ir/test/2-03T,1,541.0715874303132,401.46469644177705,1.0,4,91,5,38,held_out,bytetrack
0.07325416803359985,0,2,304.73120856133755,M3OT,1,304.73120856133755,357.69062313297763,93,1.0,9,5,46,0.01845610095752691,15.126618543314967,2,ir,different_identity,M3OT/2/ir/test/2-03T,1,379.2332506198436,296.5856010597199,1.0,3,91,4,57,held_out,bytetrack
0.0962059497833252,0,2,407.2835445252713,M3OT,1,407.2835445252713,368.1562191939738,436,1.0,24,19,44,0.06127544795639192,50.221351164048414,18,ir,different_identity,M3OT/2/ir/test/2-03T,1,428.78562782518566,125.47307698137593,1.0,17,418,13,114,held_out,bytetrack
0.1300174593925476,0,2,326.90302485087886,M3OT,1,326.90302485087886,275.08794429909904,188,1.0,13,9,39,0.06118061677444757,50.14362753658316,8,ir,different_identity,M3OT/2/ir/test/2-03T,1,375.21006367902737,73.73655456647975,1.0,6,180,7,98,held_out,bytetrack
0.05503380298614502,0,2,312.57468516845256,M3OT,1,312.57468516845256,407.28993447264656,95,1.0,9,5,44,0.002299242887913016,1.8844592465076393,4,ir,different_identity,M3OT/2/ir/test/2-03T,1,355.6343724182807,308.8942452147603,1.0,3,91,4,55,held_out,ocsort
0.08608871698379517,0,2,304.2036087959423,M3OT,1,304.2036087959423,371.394338470418,95,1.0,10,6,55,0.03135399622442565,25.697732245119727,4,ir,different_identity,M3OT/2/ir/test/2-03T,1,489.32400261843577,387.02735810540617,1.0,4,91,5,36,held_out,ocsort
0.0811266303062439,0,2,322.0203359029256,M3OT,1,347.66518786974484,360.3968424772902,188,1.0,8,9,40,0.053908514256353526,44.18341302257299,8,rgb,different_identity,M3OT/2/rgb/test/2-03,1,322.0203359029256,189.4979880921892,1.0,6,180,7,98,held_out,bytetrack
